time_s,output_pos_rad,output_torque_Nm
6.258332,0.074651449,15.360000
6.268475,0.074651449,15.320000
6.278106,0.074630905,15.280000
6.288228,0.074596664,15.240000
6.298250,0.074582968,15.200000
6.308566,0.074582968,15.160000
6.318769,0.074576120,15.120000
6.328851,0.074555575,15.080000
6.339154,0.074507638,15.040000
6.348998,0.074480246,15.000000
6.359052,0.074466549,14.960000
6.369366,0.074411764,14.920000
6.379480,0.074418613,14.880000
6.389682,0.074411764,14.840000
6.399643,0.074384372,14.800000
6.409857,0.074356979,14.760000
6.419935,0.074329587,14.720000
6.430237,0.074336435,14.680000
6.440084,0.074288498,14.640000
6.450454,0.074281650,14.600000
6.460641,0.074254258,14.560000
6.470513,0.074213169,14.520000
6.480807,0.074206321,14.480000
6.490943,0.074199472,14.440000
6.501066,0.074165232,14.400000
6.511246,0.074144687,14.360000
6.521366,0.074117295,14.320000
6.531487,0.074110447,14.280000
6.541772,0.074089902,14.240000
6.551814,0.074055662,14.200000
6.561095,0.074021421,14.160000
6.571528,0.073987181,14.120000
6.582367,0.073959788,14.080000
6.592325,0.073939244,14.040000
6.602441,0.073939244,14.000000
6.612977,0.073898155,13.960000
6.622789,0.073863914,13.920000
6.632796,0.073870762,13.880000
6.642961,0.073836522,13.840000
6.653147,0.073850218,13.800000
6.663197,0.073815977,13.760000
6.673392,0.073761192,13.720000
6.683509,0.073720103,13.680000
6.693751,0.073692711,13.640000
6.703607,0.073699559,13.600000
6.714026,0.073679015,13.560000
6.723795,0.073631078,13.520000
6.734092,0.073637926,13.480000
6.744222,0.073589989,13.440000
6.754186,0.073555748,13.400000
6.764339,0.073542052,13.360000
6.774764,0.073535204,13.320000
6.784781,0.073466723,13.280000
6.794982,0.073439330,13.240000
6.805639,0.073425634,13.200000
6.815067,0.073432482,13.160000
6.825176,0.073370849,13.120000
6.835147,0.073364001,13.080000
6.845879,0.073322912,13.040000
6.856290,0.073329760,13.000000
6.866122,0.073295520,12.960000
6.876012,0.073247583,12.920000
6.886333,0.073240734,12.880000
6.896445,0.073233886,12.840000
6.906429,0.073213342,12.800000
6.917146,0.073144861,12.760000
6.926815,0.073151709,12.720000
6.936836,0.073117468,12.680000
6.947107,0.073103772,12.640000
6.957299,0.073090076,12.600000
6.967313,0.073076379,12.560000
6.977352,0.073042139,12.520000
6.987910,0.073021594,12.480000
6.997995,0.072966809,12.440000
7.007773,0.072946265,12.400000
7.018038,0.072918872,12.360000
7.028237,0.072891480,12.320000
7.038220,0.072870936,12.280000
7.048386,0.072864087,12.240000
7.058649,0.072816151,12.200000
7.068586,0.072761365,12.160000
7.078797,0.072727125,12.120000
7.089385,0.072740821,12.080000
7.099079,0.072706580,12.040000
7.109308,0.072686036,12.000000
7.119134,0.072658644,11.960000
7.129291,0.072617555,11.920000
7.139464,0.072617555,11.880000
7.149615,0.072583314,11.840000
7.159837,0.072549074,11.800000
7.169856,0.072501137,11.760000
7.180006,0.072466896,11.720000
7.190110,0.072460048,11.680000
7.200444,0.072405263,11.640000
7.210891,0.072377870,11.600000
7.220743,0.072323085,11.560000
7.230465,0.072323085,11.520000
7.240996,0.072295693,11.480000
7.251271,0.072240908,11.440000
7.261220,0.072199819,11.400000
7.271241,0.072206667,11.360000
7.281579,0.072158730,11.320000
7.291592,0.072145034,11.280000
7.301449,0.072110793,11.240000
7.311253,0.072062856,11.200000
7.322285,0.072049160,11.160000
7.332154,0.072014919,11.120000
7.341860,0.071987527,11.080000
7.352329,0.071912198,11.040000
7.362441,0.071891653,11.000000
7.372456,0.071884805,10.960000
7.382613,0.071823172,10.920000
7.392864,0.071782083,10.880000
7.403020,0.071740994,10.840000
7.412871,0.071713602,10.800000
7.423055,0.071672513,10.760000
7.433405,0.071665665,10.720000
7.443167,0.071631424,10.680000
7.453137,0.071542399,10.640000
7.463380,0.071521854,10.600000
7.474180,0.071487614,10.560000
7.484117,0.071467069,10.520000
7.493684,0.071453373,10.480000
7.504053,0.071371195,10.440000
7.514706,0.071336955,10.400000
7.524269,0.071316410,10.360000
7.534573,0.071268473,10.320000
7.545290,0.071227385,10.280000
7.554599,0.071227385,10.240000
7.564942,0.071165752,10.200000
7.575253,0.071124663,10.160000
7.585441,0.071104118,10.120000
7.595054,0.071035637,10.080000
7.605624,0.071008245,10.040000
7.615419,0.070974004,10.000000
7.625851,0.070932915,9.960000
7.635867,0.070891826,9.920000
7.646086,0.070857586,9.880000
7.656239,0.070802801,9.840000
7.665989,0.070775408,9.800000
7.676496,0.070706927,9.760000
7.686626,0.070686383,9.720000
7.696781,0.070645294,9.680000
7.706865,0.070604205,9.640000
7.718879,0.070542572,9.600000
7.726919,0.070535724,9.560000
7.736949,0.070508331,9.520000
7.747801,0.070439850,9.480000
7.757184,0.070412457,9.440000
7.768008,0.070391913,9.400000
7.777882,0.070364521,9.360000
7.787868,0.070309735,9.320000
7.797942,0.070275495,9.280000
7.808372,0.070234406,9.240000
7.818343,0.070186469,9.200000
7.828332,0.070145380,9.160000
7.838554,0.070083747,9.120000
7.848709,0.070070051,9.080000
7.859138,0.070035810,9.040000
7.868860,0.069981025,9.000000
7.879237,0.069933088,8.960000
7.889429,0.069898848,8.920000
7.899619,0.069837215,8.880000
7.909915,0.069823518,8.840000
7.919531,0.069761885,8.800000
7.929708,0.069672860,8.760000
7.940186,0.069631771,8.720000
7.950219,0.069542745,8.680000
7.960911,0.069440023,8.640000
7.970496,0.069344149,8.600000
7.980557,0.069268820,8.560000
7.990870,0.069159250,8.520000
8.001280,0.069070224,8.480000
8.011332,0.068878477,8.440000
8.021389,0.068762058,8.400000
8.031437,0.068590855,8.360000
8.041600,0.068433348,8.320000
8.051771,0.068234753,8.280000
8.061837,0.067892346,8.240000
8.072013,0.067673206,8.200000
8.082217,0.067474610,8.160000
8.092413,0.067221230,8.120000
8.102561,0.066892519,8.080000
8.112530,0.066509024,8.040000
8.122660,0.066070744,8.000000
8.133004,0.065543438,7.960000
8.142994,0.065214728,7.920000
8.153056,0.065851604,7.880000
8.163059,0.065002436,7.840000
8.173784,0.065221576,7.800000
8.183705,0.065344842,7.760000
8.193424,0.065317450,7.720000
8.204106,0.065262665,7.680000
8.213794,0.065242120,7.640000
8.224093,0.065166791,7.600000
8.234450,0.065173639,7.560000
8.244749,0.065098310,7.520000
8.254575,0.065064069,7.480000
8.264802,0.065009284,7.440000
8.274841,0.064954499,7.400000
8.285051,0.064892866,7.360000
8.295305,0.064879170,7.320000
8.305466,0.064796992,7.280000
8.315633,0.064728511,7.240000
8.325916,0.064625789,7.200000
8.335981,0.064516219,7.160000
8.346509,0.064345016,7.120000
8.356478,0.064249142,7.080000
8.366523,0.064071090,7.040000
8.376436,0.063954672,7.000000
8.386596,0.063694443,6.960000
8.396759,0.063372581,6.920000
8.406870,0.063002782,6.880000
8.416996,0.062674072,6.840000
8.427266,0.062434388,6.800000
8.437275,0.062283729,6.760000
8.447931,0.062126222,6.720000
8.457063,0.062064589,6.680000
8.467329,0.061961867,6.640000
8.477145,0.061893386,6.600000
8.487297,0.061790664,6.560000
8.497074,0.061674245,6.520000
8.507248,0.061598916,6.480000
8.517461,0.061544131,6.440000
8.528402,0.061441409,6.400000
8.538336,0.061386624,6.360000
8.548432,0.061324991,6.320000
8.558198,0.061270206,6.280000
8.567961,0.061215421,6.240000
8.578224,0.061181180,6.200000
8.588854,0.061119547,6.160000
8.599069,0.061044218,6.120000
8.609642,0.061003129,6.080000
8.618962,0.060962040,6.040000
8.629945,0.060886711,6.000000
8.639255,0.060831926,5.960000
8.650196,0.060811381,5.920000
8.659747,0.060742900,5.880000
8.669543,0.060681267,5.840000
8.680937,0.060653874,5.800000
8.691041,0.060647026,5.760000
8.700418,0.060571697,5.720000
8.710160,0.060537456,5.680000
8.720090,0.060482671,5.640000
8.730344,0.060455279,5.600000
8.740531,0.060407342,5.560000
8.750519,0.060352557,5.520000
8.761137,0.060325164,5.480000
8.770741,0.060277227,5.440000
8.780851,0.060270379,5.400000
8.790959,0.060242987,5.360000
8.801305,0.060215594,5.320000
8.811126,0.060167657,5.280000
