time_s,encoder_pos_rad,output_torque_Nm
5.729522,1.381825885,13.375000
5.740269,1.381930560,13.400000
5.750928,1.383376719,13.425000
5.762138,1.384249695,13.450000
5.772955,1.384494810,13.475000
5.783512,1.386145449,13.500000
5.794134,1.387342374,13.525000
5.804708,1.390244241,13.550000
5.815343,1.396565358,13.575000
5.826036,1.403363972,13.600000
5.836690,1.407638782,13.625000
5.847390,1.409190177,13.650000
5.858087,1.408929895,13.675000
5.868793,1.411236109,13.700000
5.879587,1.411009720,13.725000
5.890190,1.413465175,13.750000
5.900897,1.416004707,13.775000
5.912059,1.417855521,13.800000
5.922827,1.419000951,13.825000
5.933379,1.419534811,13.850000
5.943889,1.420500477,13.875000
5.954518,1.421735601,13.900000
5.965091,1.422589852,13.925000
5.975759,1.423108357,13.950000
5.986475,1.425100734,13.975000
5.997112,1.425695638,14.000000
6.007767,1.426548953,14.025000
6.018472,1.427255460,14.050000
6.029145,1.427722283,14.075000
6.039831,1.428052411,14.100000
6.050453,1.428980252,14.125000
6.061163,1.429402696,14.150000
6.072201,1.429988051,14.175000
6.082992,1.430438395,14.200000
6.093585,1.430410495,14.225000
6.104234,1.431244896,14.250000
6.114817,1.431698986,14.275000
6.125401,1.432103266,14.300000
6.136152,1.432380776,14.325000
6.146797,1.433096085,14.350000
6.157458,1.435275716,14.375000
6.168150,1.435844779,14.400000
6.178815,1.437651026,14.425000
6.189488,1.443344095,14.450000
6.200140,1.453090079,14.475000
6.210808,1.456413267,14.500000
6.222006,1.455962173,14.525000
6.232958,1.457995184,14.550000
6.243383,1.458864228,14.575000
6.253868,1.462496572,14.600000
6.264361,1.469641417,14.625000
6.275268,1.478469484,14.650000
6.285882,1.486491424,14.675000
6.296479,1.495020073,14.700000
6.307400,1.496197523,14.725000
6.318121,1.498026802,14.750000
6.328723,1.500717448,14.775000
6.339304,1.501468709,14.800000
6.350006,1.502302736,14.825000
6.360622,1.503309224,14.850000
6.371317,1.503475692,14.875000
6.381862,1.504928031,14.900000
6.392651,1.505566752,14.925000
6.403259,1.506995309,14.950000
6.413825,1.508126321,14.975000
6.424469,1.510133117,15.000000
6.435048,1.513396945,15.025000
6.445799,1.518433690,15.050000
6.456548,1.526060713,15.075000
6.467223,1.527599001,15.100000
6.477900,1.527843928,15.125000
6.488608,1.529885366,15.150000
6.499268,1.533640548,15.175000
6.509780,1.534059809,15.200000
6.520556,1.535120975,15.225000
6.531320,1.538239495,15.250000
6.542623,1.547959450,15.275000
6.553171,1.552679924,15.300000
6.563712,1.553989762,15.325000
6.574223,1.555036509,15.350000
6.584812,1.555179945,15.375000
6.595459,1.556469373,15.400000
6.606155,1.557866659,15.425000
6.616901,1.558101849,15.450000
6.627616,1.558809668,15.475000
6.638271,1.560389713,15.500000
6.648982,1.561871824,15.525000
6.659688,1.562811088,15.550000
6.670402,1.563799412,15.575000
6.681117,1.565522706,15.600000
6.692272,1.566856138,15.625000
6.703014,1.567751023,15.650000
6.713626,1.568762941,15.675000
6.724274,1.569484990,15.700000
6.734893,1.569568131,15.725000
6.745565,1.570477621,15.750000
6.756235,1.571697952,15.775000
6.766910,1.571787647,15.800000
6.777655,1.572455206,15.825000
6.788367,1.573633779,15.850000
6.799022,1.574291414,15.875000
6.809725,1.574488404,15.900000
6.820465,1.575016085,15.925000
6.831166,1.575228430,15.950000
6.842087,1.576054405,15.975000
6.852724,1.576248213,16.000000
6.863305,1.576372175,16.025000
6.873871,1.576840121,16.050000
6.884503,1.577197588,16.075000
6.895094,1.577327729,16.100000
6.905768,1.577548127,16.125000
6.916472,1.577791744,16.150000
6.927122,1.578212315,16.175000
6.937820,1.578615285,16.200000
6.948624,1.579002899,16.225000
6.959260,1.579014884,16.250000
6.969959,1.579421411,16.275000
6.980659,1.579568405,16.300000
6.991709,1.580989659,16.325000
7.002519,1.581221853,16.350000
7.013103,1.581525391,16.375000
7.023667,1.583278459,16.400000
7.034230,1.583961747,16.425000
7.044854,1.585385248,16.450000
7.055562,1.587276696,16.475000
7.066213,1.590575166,16.500000
7.076930,1.592476913,16.525000
7.087618,1.594728449,16.550000
7.098315,1.596490879,16.575000
7.109049,1.597469092,16.600000
7.119782,1.598723316,16.625000
7.130474,1.599902264,16.650000
7.141641,1.600445299,16.675000
7.152660,1.601065296,16.700000
7.163295,1.601086081,16.725000
7.173919,1.601417707,16.750000
7.184658,1.601848952,16.775000
7.195319,1.602474566,16.800000
7.205980,1.602485052,16.825000
7.216673,1.602577929,16.850000
7.227462,1.602573248,16.875000
7.238073,1.603280879,16.900000
7.248775,1.603535918,16.925000
7.259473,1.603973717,16.950000
7.270175,1.604467692,16.975000
7.280915,1.604736026,17.000000
7.292085,1.606419435,17.025000
7.302878,1.606781958,17.050000
7.313453,1.607440341,17.075000
7.323983,1.608012963,17.100000
7.334532,1.609152400,17.125000
7.345136,1.612174298,17.150000
7.355802,1.615326149,17.175000
7.366428,1.622034131,17.200000
7.377059,1.625954284,17.225000
7.387702,1.627976060,17.250000
7.398438,1.629300691,17.275000
7.409199,1.630246696,17.300000
7.419798,1.632226340,17.325000
7.430446,1.632739228,17.350000
7.441153,1.635097124,17.375000
7.452287,1.637524678,17.400000
7.462952,1.639970022,17.425000
7.473533,1.641411312,17.450000
7.484170,1.643025438,17.475000
7.494779,1.644315240,17.500000
7.505454,1.644721767,17.525000
7.516180,1.646248632,17.550000
7.526812,1.646977797,17.575000
7.537466,1.647573638,17.600000
7.548224,1.648060497,17.625000
7.558919,1.648291755,17.650000
7.569665,1.649175405,17.675000
7.580375,1.649098069,17.700000
7.591074,1.650155302,17.725000
7.602045,1.650367648,17.750000
7.612725,1.651192312,17.775000
7.623258,1.651001501,17.800000
7.633798,1.651608577,17.825000
7.644433,1.651707634,17.850000
7.655012,1.652089444,17.875000
7.665697,1.651925972,17.900000
7.676361,1.652978711,17.925000
7.686990,1.653424936,17.950000
7.697734,1.653710310,17.975000
7.708451,1.654464380,18.000000
7.719090,1.656761232,18.025000
7.729737,1.658349329,18.050000
7.740464,1.663486255,18.075000
7.751142,1.671249972,18.100000
7.762249,1.675648183,18.125000
7.773051,1.676804473,18.150000
7.783610,1.677228977,18.175000
7.794150,1.678008514,18.200000
7.804814,1.679287455,18.225000
7.815634,1.678764269,18.250000
7.826248,1.681623068,18.275000
7.836890,1.682450729,18.300000
7.847499,1.683699522,18.325000
7.857996,1.690564423,18.350000
7.868524,1.699849014,18.375000
7.879010,1.712265982,18.400000
7.889506,1.722001292,18.425000
7.900245,1.721522298,18.450000
7.911106,1.722693756,18.475000
7.921853,1.723980375,18.500000
7.932442,1.724887244,18.525000
7.942855,1.725607795,18.550000
7.953427,1.726312992,18.575000
7.963946,1.727534821,18.600000
7.974499,1.728436634,18.625000
7.985089,1.729633746,18.650000
7.995796,1.732220840,18.675000
8.006472,1.738147039,18.700000
8.017129,1.747499603,18.725000
8.027829,1.751284184,18.750000
8.038491,1.750204668,18.775000
8.049259,1.751187561,18.800000
8.059921,1.752828277,18.825000
8.070627,1.753677846,18.850000
8.081309,1.760073677,18.875000
8.092291,1.794699286,18.900000
8.102993,1.795531815,18.925000
8.113518,1.794707712,18.950000
8.124050,1.796300678,18.975000
8.134604,1.795892653,19.000000
8.145167,1.796571072,19.025000
8.155756,1.796769748,19.050000
8.166425,1.796701213,19.075000
8.177127,1.797395175,19.100000
8.187809,1.797427382,19.125000
8.198465,1.797934278,19.150000
8.209140,1.797974912,19.175000
8.219800,1.798661383,19.200000
8.230547,1.798961363,19.225000
8.241211,1.799094500,19.250000
8.252042,1.799975716,19.275000
8.262739,1.800057358,19.300000
8.273287,1.800825659,19.325000
8.283880,1.801158783,19.350000
8.294451,1.801706125,19.375000
8.305061,1.802196355,19.400000
8.315939,1.802880018,19.425000
8.326588,1.803717415,19.450000
8.337256,1.804892431,19.475000
8.347968,1.806394579,19.500000
8.358567,1.809402806,19.525000
8.369225,1.814462584,19.550000
8.379853,1.816984701,19.575000
8.390459,1.818014970,19.600000
8.401117,1.818263830,19.625000
8.412145,1.819984315,19.650000
8.422907,1.820718911,19.675000
8.433500,1.821268874,19.700000
8.444094,1.821165323,19.725000
8.454835,1.821877074,19.750000
8.465480,1.822671029,19.775000
8.476182,1.822543509,19.800000
8.486843,1.822720651,19.825000
8.497484,1.823260503,19.850000
8.508156,1.823494944,19.875000
8.518779,1.823740995,19.900000
8.529443,1.824632322,19.925000
8.540148,1.824952900,19.950000
8.550824,1.824756846,19.975000
8.561662,1.825864637,20.000000
8.572351,1.826714019,20.000000
8.583070,1.827125790,19.975000
8.593640,1.826854647,19.950000
8.604220,1.827401427,19.925000
8.614760,1.826658218,19.900000
8.625340,1.826921309,19.875000
8.635963,1.827648414,19.850000
8.646681,1.827071299,19.825000
8.657336,1.827382327,19.800000
8.668041,1.826976736,19.775000
8.678699,1.827185711,19.750000
8.689379,1.827207058,19.725000
8.700226,1.827527636,19.700000
8.710863,1.826721322,19.675000
8.721956,1.827538309,19.650000
8.732748,1.826929548,19.625000
8.743306,1.826398123,19.600000
8.753883,1.826632002,19.575000
8.764461,1.826781618,19.550000
8.775001,1.826438008,19.525000
8.785594,1.826443812,19.500000
8.796245,1.826508789,19.475000
8.806898,1.825667085,19.450000
8.817616,1.826498116,19.425000
8.828325,1.826126980,19.400000
8.838964,1.825902837,19.375000
8.849653,1.825548553,19.350000
8.860326,1.825678133,19.325000
8.870984,1.825100081,19.300000
8.881959,1.825473839,19.275000
8.892737,1.825288646,19.250000
8.903277,1.825039411,19.225000
8.913815,1.825215617,19.200000
8.924440,1.825021435,19.175000
8.935067,1.824677637,19.150000
8.945775,1.824622210,19.125000
8.956418,1.824833058,19.100000
8.966995,1.824027868,19.075000
8.977559,1.825086224,19.050000
8.988528,1.824064382,19.025000
8.999171,1.823786685,19.000000
9.009821,1.823905217,18.975000
9.020501,1.824348071,18.950000
9.031186,1.823977496,18.925000
9.042089,1.824009330,18.900000
9.053000,1.823393453,18.875000
9.063541,1.823536702,18.850000
9.074081,1.823507116,18.825000
9.084695,1.823703357,18.800000
9.095292,1.823185414,18.775000
9.105949,1.822732261,18.750000
9.116620,1.823173055,18.725000
9.127167,1.822820644,18.700000
9.137836,1.822734508,18.675000
9.148536,1.822841991,18.650000
9.159193,1.822579462,18.625000
9.169909,1.822460930,18.600000
9.180626,1.822439583,18.575000
9.191290,1.822342024,18.550000
9.202171,1.821914712,18.525000
9.212930,1.821763411,18.500000
9.223498,1.822037550,18.475000
9.234053,1.821724275,18.450000
9.244670,1.821909094,18.425000
9.255223,1.821204459,18.400000
