time_s,odrive_pos_rad,output_pos_rad,diff_rad,odrive_disp_rad,output_disp_rad,motor_on_output_side_rad,backlash_rad
19.928738,6.737028,4.850447,1.886581,-4.462298,-0.3186840000000002,-0.3187355714285714,-5.157142857120656e-05
19.930306,6.738888,4.850831,1.888058,-4.460437999999999,-0.3190680000000006,-0.31860271428571424,0.00046528571428633425
19.933654,6.740834,4.850447,1.890387,-4.458491999999999,-0.3186840000000002,-0.3184637142857142,0.00022028571428600596
19.936622,6.74447,4.850064,1.894406,-4.4548559999999995,-0.31830099999999995,-0.318204,9.699999999995823e-05
19.939698,6.750699,4.84968,1.901019,-4.448626999999999,-0.31791700000000045,-0.31775907142857135,0.0001579285714291001
19.942602,6.757157,4.849297,1.90786,-4.442168999999999,-0.3175340000000002,-0.31729778571428563,0.00023621428571457548
19.945539,6.765614,4.848913,1.916701,-4.433711999999999,-0.3171499999999998,-0.3166937142857142,0.00045628571428563136
19.949062,6.779997,4.847763,1.932235,-4.419328999999999,-0.31599999999999984,-0.3156663571428571,0.000333642857142713
19.951577,6.79075,4.846996,1.943754,-4.408575999999999,-0.3152330000000001,-0.31489828571428563,0.0003347142857144658
19.95487,6.807526,4.845845,1.961681,-4.391799999999999,-0.314082,-0.3136999999999999,0.00038200000000004897
19.95787,6.824293,4.844311,1.979981,-4.375032999999999,-0.3125480000000005,-0.31250235714285707,4.56428571434242e-05
19.960779,6.833153,4.843928,1.989226,-4.366172999999999,-0.31216500000000025,-0.3118694999999999,0.00029550000000033716
19.964315,6.842281,4.843544,1.998737,-4.357044999999999,-0.31178099999999986,-0.3112175,0.0005634999999998835
19.967232,6.851765,4.842394,2.009371,-4.347560999999999,-0.3106309999999999,-0.3105400714285714,9.092857142850574e-05
19.970796,6.859376,4.84201,2.017366,-4.339949999999999,-0.3102470000000004,-0.3099964285714285,0.0002505714285718774
19.97371,6.868943,4.841243,2.027699,-4.330382999999999,-0.30948000000000064,-0.3093130714285714,0.00016692857142924789
19.976796,6.881963,4.840093,2.04187,-4.317362999999999,-0.30833000000000066,-0.3083830714285714,-5.307142857075009e-05
19.979708,6.893149,4.839709,2.053439,-4.306176999999999,-0.3079460000000003,-0.30758407142857136,0.00036192857142891555
19.982623,6.907811,4.838559,2.069252,-4.2915149999999995,-0.3067960000000003,-0.30653678571428566,0.00025921428571462624
19.985692,6.921636,4.837408,2.084227,-4.277689999999999,-0.30564500000000017,-0.30554928571428563,9.571428571453211e-05
19.988907,6.936035,4.836641,2.099394,-4.263290999999999,-0.3048780000000004,-0.30452078571428565,0.00035721428571477976
19.991793,6.948581,4.835491,2.11309,-4.250744999999999,-0.30372800000000044,-0.3036246428571428,0.00010335714285764075
19.995017,6.963169,4.834724,2.128446,-4.2361569999999995,-0.3029609999999998,-0.3025826428571428,0.00037835714285699984
19.998061,6.982504,4.832806,2.149697,-4.216822,-0.30104299999999995,-0.3012015714285714,-0.00015857142857145234
20.00095,6.997015,4.831272,2.165743,-4.202310999999999,-0.29950900000000047,-0.30016507142857135,-0.0006560714285708813
20.004913,7.020717,4.829739,2.190978,-4.178608999999999,-0.29797600000000024,-0.29847207142857135,-0.0004960714285711099
20.008056,7.045491,4.828972,2.216519,-4.153834999999999,-0.2972090000000005,-0.2967024999999999,0.0005065000000005759
20.01087,7.062055,4.827054,2.235001,-4.137270999999999,-0.29529100000000064,-0.2955193571428571,-0.00022835714285646125
20.014451,7.086883,4.825137,2.261747,-4.112442999999999,-0.293374,-0.2937459285714285,-0.00037192857142848146
20.018538,7.111337,4.823986,2.287351,-4.087988999999999,-0.2922229999999999,-0.29199921428571424,0.00022378571428566252
20.020987,7.126169,4.823219,2.30295,-4.073156999999999,-0.29145600000000016,-0.29093978571428564,0.0005162142857145224
20.024398,7.143731,4.821685,2.322046,-4.055594999999999,-0.2899220000000007,-0.2896853571428571,0.00023664285714358746
20.027708,7.169083,4.820535,2.348549,-4.030243,-0.2887719999999998,-0.2878745,0.000897499999999829
20.030431,7.180364,4.818617,2.361747,-4.018961999999999,-0.28685399999999994,-0.28706871428571423,-0.0002147142857142903
20.033723,7.20031,4.817467,2.382843,-3.9990159999999992,-0.28570399999999996,-0.28564399999999995,6.0000000000004494e-05
20.036684,7.218514,4.816316,2.402198,-3.9808119999999994,-0.28455299999999983,-0.28434371428571426,0.00020928571428557863
20.039641,7.238454,4.815166,2.423288,-3.9608719999999993,-0.28340299999999985,-0.28291942857142854,0.00048357142857130553
20.042649,7.261344,4.813632,2.447713,-3.937981999999999,-0.28186900000000037,-0.2812844285714285,0.0005845714285718784
20.04561,7.285666,4.812098,2.473568,-3.9136599999999993,-0.280335,-0.2795471428571428,0.0007878571428571735
20.048994,7.312512,4.809413,2.503099,-3.8868139999999993,-0.2776500000000004,-0.27762957142857136,2.0428571429031983e-05
20.051536,7.337833,4.807112,2.530721,-3.8614929999999994,-0.2753490000000003,-0.27582092857142854,-0.0004719285714282484
20.054905,7.367203,4.805195,2.562009,-3.8321229999999993,-0.27343200000000056,-0.2737230714285714,-0.0002910714285708216
20.058633,7.396846,4.804428,2.592419,-3.802479999999999,-0.27266499999999994,-0.27160571428571423,0.001059285714285707
20.06116,7.420142,4.800976,2.619166,-3.779183999999999,-0.2692130000000006,-0.26994171428571423,-0.0007287142857136386
20.064642,7.446358,4.799826,2.646532,-3.752967999999999,-0.2680630000000006,-0.2680691428571428,-6.142857142177327e-06
20.069201,7.474259,4.797141,2.677118,-3.7250669999999992,-0.2653780000000001,-0.2660762142857142,-0.0006982142857140938
20.070662,7.492349,4.795991,2.696358,-3.7069769999999993,-0.26422800000000013,-0.26478407142857135,-0.0005560714285712254
