time_s,odrive_pos_rad,output_pos_rad,diff_rad,odrive_disp_rad,output_disp_rad,motor_on_output_side_rad,backlash_rad
13.125627,0.43391,0.668432,-0.234522,0.207681,0.013421999999999934,0.014834357142857144,0.00141235714285721
13.129739,0.435572,0.668432,-0.232861,0.209343,0.013421999999999934,0.014953071428571428,0.0015310714285714944
13.131366,0.435436,0.668432,-0.232996,0.20920699999999998,0.013421999999999934,0.014943357142857142,0.001521357142857208
13.13471,0.434945,0.668049,-0.233104,0.208716,0.013804999999999956,0.014908285714285716,0.0011032857142857597
13.137673,0.434516,0.668816,-0.234299,0.208287,0.013037999999999994,0.014877642857142857,0.0018396428571428626
13.140761,0.435171,0.668049,-0.232877,0.20894199999999996,0.013804999999999956,0.01492442857142857,0.0011194285714286132
13.143611,0.435676,0.668049,-0.232373,0.209447,0.013804999999999956,0.0149605,0.0011555000000000436
13.146645,0.436665,0.667665,-0.231,0.210436,0.014189000000000007,0.015031142857142857,0.0008421428571428503
13.149899,0.437517,0.668049,-0.230532,0.21128799999999998,0.013804999999999956,0.015091999999999998,0.0012870000000000416
13.15255,0.438442,0.668049,-0.229607,0.21221299999999998,0.013804999999999956,0.015158071428571427,0.0013530714285714708
13.15554,0.439363,0.668049,-0.228686,0.213134,0.013804999999999956,0.015223857142857141,0.0014188571428571852
13.159827,0.441403,0.667665,-0.226262,0.21517399999999998,0.014189000000000007,0.015369571428571427,0.0011805714285714197
13.161381,0.442474,0.667665,-0.225191,0.21624499999999997,0.014189000000000007,0.015446071428571425,0.0012570714285714182
13.164607,0.444092,0.667282,-0.223189,0.21786299999999997,0.014571999999999918,0.015561642857142855,0.0009896428571429371
13.167532,0.447345,0.667665,-0.22032,0.22111599999999998,0.014189000000000007,0.015794,0.0016049999999999918
13.170717,0.451747,0.666898,-0.215151,0.225518,0.01495599999999997,0.016108428571428572,0.0011524285714286028
13.173564,0.45663,0.666515,-0.209885,0.23040099999999997,0.015338999999999992,0.016457214285714283,0.0011182142857142918
13.176422,0.461441,0.666131,-0.20469,0.23521199999999998,0.01572299999999993,0.01680085714285714,0.0010778571428572102
13.179838,0.467179,0.666131,-0.198952,0.24095,0.01572299999999993,0.017210714285714284,0.0014877142857143526
13.182434,0.473315,0.664981,-0.191666,0.24708599999999997,0.016872999999999916,0.017648999999999998,0.0007760000000000822
13.185801,0.485603,0.664597,-0.178994,0.259374,0.017256999999999967,0.018526714285714285,0.0012697142857143184
13.190339,0.499221,0.66383,-0.164609,0.272992,0.01802399999999993,0.019499428571428574,0.0014754285714286448
13.191251,0.507935,0.663447,-0.155511,0.281706,0.01840699999999995,0.020121857142857143,0.0017148571428571915
13.194804,0.519513,0.662296,-0.142783,0.293284,0.019557999999999964,0.02094885714285714,0.0013908571428571763
13.197627,0.53245,0.661146,-0.128695,0.30622099999999997,0.02070799999999995,0.021872928571428567,0.0011649285714286188
13.200734,0.546517,0.660379,-0.113862,0.320288,0.02147499999999991,0.022877714285714286,0.0014027142857143751
13.203276,0.559771,0.659228,-0.099457,0.333542,0.022625999999999924,0.023824428571428573,0.0011984285714286488
13.206126,0.57215,0.657694,-0.085545,0.34592100000000003,0.02415999999999996,0.02470864285714286,0.0005486428571429003
13.209563,0.589008,0.656927,-0.067919,0.36277899999999996,0.02492699999999992,0.02591278571428571,0.0009857857142857897
13.212219,0.601635,0.656544,-0.054909,0.375406,0.025309999999999944,0.026814714285714285,0.0015047142857143418
13.215539,0.620183,0.655393,-0.035211,0.393954,0.026460999999999957,0.02813957142857143,0.0016785714285714737
13.219688,0.648404,0.653476,-0.005072,0.42217499999999997,0.028378000000000014,0.03015535714285714,0.0017773571428571257
13.221158,0.66188,0.651558,0.010321,0.435651,0.03029599999999999,0.03111792857142857,0.0008219285714285811
13.224858,0.689765,0.650408,0.039357,0.46353599999999995,0.031445999999999974,0.033109714285714284,0.00166371428571431
13.227774,0.713992,0.648107,0.065885,0.48776299999999995,0.03374699999999997,0.03484021428571428,0.0010932142857143085
13.230926,0.741033,0.646956,0.094077,0.514804,0.034897999999999985,0.03677171428571429,0.001873714285714305
13.233769,0.764885,0.644655,0.12023,0.538656,0.03719899999999998,0.03847542857142857,0.001276428571428588
13.236657,0.79001,0.642738,0.147272,0.563781,0.03911599999999993,0.040270071428571426,0.0011540714285714973
13.239977,0.816262,0.641971,0.174291,0.590033,0.039883,0.042145214285714286,0.002262214285714284
13.242603,0.840797,0.639286,0.201511,0.614568,0.04256799999999994,0.04389771428571428,0.0013297142857143437
13.245785,0.865353,0.638136,0.227217,0.639124,0.043717999999999924,0.04565171428571429,0.001933714285714365
13.248877,0.90159,0.636602,0.264988,0.675361,0.04525199999999996,0.04824007142857143,0.002988071428571472
